arquivo,palavra,ascii,par_id,escritor,semente,real,marca,onde,indice,medivel,fileiras_pauta,faixa_massa,faixa_massa_rel,faixa_densidade,tem_gemeo,diff_delta_rel,e2_lido,e2_cer,e1_escore,e1_presente,categoria
importancia-39f2c4__acc__w424__s0.png,importância,importancia,importancia-39f2c4,424,0,False,circunflexo,acima,6,True,0,87,0.39367,0.07733,True,0.00373,,,0.00373,,
negligencia-07e163__acc__w424__s0.png,negligência,negligencia,negligencia-07e163,424,0,False,circunflexo,acima,6,True,0,11,0.05314,0.0125,True,0.02811,,,0.02811,,
influencia-754992__acc__w424__s0.png,influência,influencia,influencia-754992,424,0,False,circunflexo,acima,5,True,0,6,0.0239,0.00491,True,-0.00685,,,-0.00685,,
ineficiencia-65d1bb__acc__w424__s0.png,ineficiência,ineficiencia,ineficiencia-65d1bb,424,0,False,circunflexo,acima,7,True,0,52,0.23318,0.04762,True,0.05068,,,0.05068,,
porque-90c5f0__acc__w424__s0.png,porquê,porque,porque-90c5f0,424,0,False,circunflexo,acima,5,True,0,0,0.0,0.0,True,-0.05672,,,-0.05672,,
pode-9faff7__acc__w424__s0.png,pôde,pode,pode-9faff7,424,0,False,circunflexo,acima,1,True,0,7,0.02053,0.00777,True,-0.01045,,,-0.01045,,
depressao-2d26ca__acc__w424__s0.png,depressão,depressao,depressao-2d26ca,424,0,False,til,acima,7,True,0,5,0.01211,0.006,True,-0.00845,,,-0.00845,,
cidadaos-88079d__acc__w424__s0.png,cidadãos,cidadaos,cidadaos-88079d,424,0,False,til,acima,5,True,0,107,0.18074,0.06049,True,-0.0125,,,-0.0125,,
questao-72d350__acc__w424__s0.png,questão,questao,questao-72d350,424,0,False,til,acima,5,True,0,65,0.17906,0.07081,True,-0.01728,,,-0.01728,,
exclusao-7a9dad__acc__w424__s0.png,exclusão,exclusao,exclusao-7a9dad,424,0,False,til,acima,6,True,0,60,0.0974,0.03663,True,0.01937,,,0.01937,,
regioes-ba061c__acc__w424__s0.png,regiões,regioes,regioes-ba061c,424,0,False,til,acima,4,True,0,10,0.03003,0.0202,True,0.00339,,,0.00339,,
visao-ee76db__acc__w424__s0.png,visão,visao,visao-ee76db,424,0,False,til,acima,3,True,0,99,0.11928,0.05392,True,0.02021,,,0.02021,,
doencas-7ee44f__acc__w424__s0.png,doenças,doencas,doencas-7ee44f,424,0,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,-0.01861,,,-0.01861,,
doenca-0cc034__acc__w424__s0.png,doença,doenca,doenca-0cc034,424,0,False,cedilha,abaixo,4,True,0,11,0.02703,0.02022,True,-0.00231,,,-0.00231,,
espaco-222fe5__acc__w424__s0.png,espaço,espaco,espaco-222fe5,424,0,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,0.0,,,0.0,,
preco-f110c7__acc__w424__s0.png,preço,preco,preco-f110c7,424,0,False,cedilha,abaixo,3,True,0,28,0.03867,0.01411,True,0.10394,,,0.10394,,
espacos-a321bd__acc__w424__s0.png,espaços,espacos,espacos-a321bd,424,0,False,cedilha,abaixo,4,True,0,34,0.07456,0.01944,True,-0.03019,,,-0.03019,,
presenca-d6581f__acc__w424__s0.png,presença,presenca,presenca-d6581f,424,0,False,cedilha,abaixo,6,True,0,191,0.36312,0.09326,True,0.3411,,,0.3411,,
pais-8b83c1__acc__w375__s0.png,país,pais,pais-8b83c1,375,0,False,agudo,acima,2,True,0,105,0.39773,0.10836,True,-0.03865,,,-0.03865,,
individuos-2e50a2__acc__w375__s0.png,indivíduos,individuos,individuos-2e50a2,375,0,False,agudo,acima,5,True,0,49,0.20763,0.03125,True,0.0,,,0.0,,
esta-2d1080__acc__w375__s0.png,está,esta,esta-2d1080,375,0,False,agudo,acima,3,True,0,234,0.51316,0.11207,True,0.01982,,,0.01982,,
filosofo-6185fc__acc__w375__s0.png,filósofo,filosofo,filosofo-6185fc,375,0,False,agudo,acima,3,True,0,18,0.09326,0.01538,True,0.02367,,,0.02367,,
vies-abb582__acc__w375__s0.png,viés,vies,vies-abb582,375,0,False,agudo,acima,2,True,0,100,0.10858,0.04902,True,0.03749,,,0.03749,,
sera-615740__acc__w375__s0.png,será,sera,sera-615740,375,0,False,agudo,acima,3,True,0,0,0.0,0.0,True,0.0,,,0.0,,
aqueles-f3aa73__acc__w375__s0.png,àqueles,aqueles,aqueles-f3aa73,375,0,False,grave,acima,0,True,0,20,0.08403,0.02558,True,0.01688,,,0.01688,,
aquele-305a09__acc__w375__s0.png,àquele,aquele,aquele-305a09,375,0,False,grave,acima,0,True,0,34,0.20988,0.04722,True,0.0766,,,0.0766,,
aquela-5f0a77__acc__w375__s0.png,àquela,aquela,aquela-5f0a77,375,0,False,grave,acima,0,True,0,44,0.26667,0.05685,True,0.0,,,0.0,,
aquelas-cda0ac__acc__w375__s0.png,àquelas,aquelas,aquelas-cda0ac,375,0,False,grave,acima,0,True,0,46,0.23711,0.04978,True,-0.02128,,,-0.02128,,
epoque-f59620__acc__w375__s0.png,èpoque,epoque,epoque-f59620,375,0,False,grave,acima,0,True,0,96,0.26593,0.19048,True,-0.05613,,,-0.05613,,
importancia-39f2c4__acc__w375__s0.png,importância,importancia,importancia-39f2c4,375,0,False,circunflexo,acima,6,True,0,88,0.38261,0.08,True,0.02299,,,0.02299,,
negligencia-07e163__acc__w375__s0.png,negligência,negligencia,negligencia-07e163,375,0,False,circunflexo,acima,6,True,0,0,0.0,0.0,True,0.0,,,0.0,,
influencia-754992__acc__w375__s0.png,influência,influencia,influencia-754992,375,0,False,circunflexo,acima,5,True,0,7,0.03723,0.00641,True,-0.076,,,-0.076,,
ineficiencia-65d1bb__acc__w375__s0.png,ineficiência,ineficiencia,ineficiencia-65d1bb,375,0,False,circunflexo,acima,7,True,0,41,0.15953,0.03704,True,0.025,,,0.025,,
porque-90c5f0__acc__w375__s0.png,porquê,porque,porque-90c5f0,375,0,False,circunflexo,acima,5,True,0,42,0.12613,0.12353,True,0.0,,,0.0,,
pode-9faff7__acc__w375__s0.png,pôde,pode,pode-9faff7,375,0,False,circunflexo,acima,1,True,0,12,0.03974,0.01192,True,-0.02362,,,-0.02362,,
depressao-2d26ca__acc__w375__s0.png,depressão,depressao,depressao-2d26ca,375,0,False,til,acima,7,True,0,22,0.09091,0.02138,True,0.03191,,,0.03191,,
cidadaos-88079d__acc__w375__s0.png,cidadãos,cidadaos,cidadaos-88079d,375,0,False,til,acima,5,True,0,154,0.24483,0.08144,True,-0.01654,,,-0.01654,,
questao-72d350__acc__w375__s0.png,questão,questao,questao-72d350,375,0,False,til,acima,5,True,0,58,0.22394,0.05686,True,0.0048,,,0.0048,,
exclusao-7a9dad__acc__w375__s0.png,exclusão,exclusao,exclusao-7a9dad,375,0,False,til,acima,6,True,0,42,0.084,0.0255,True,-0.01411,,,-0.01411,,
regioes-ba061c__acc__w375__s0.png,regiões,regioes,regioes-ba061c,375,0,False,til,acima,4,True,0,13,0.04981,0.02686,True,-0.05366,,,-0.05366,,
visao-ee76db__acc__w375__s0.png,visão,visao,visao-ee76db,375,0,False,til,acima,3,True,0,66,0.10248,0.02865,True,-0.00805,,,-0.00805,,
doencas-7ee44f__acc__w375__s0.png,doenças,doencas,doencas-7ee44f,375,0,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,0.01613,,,0.01613,,
doenca-0cc034__acc__w375__s0.png,doença,doenca,doenca-0cc034,375,0,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,0.0,,,0.0,,
espaco-222fe5__acc__w375__s0.png,espaço,espaco,espaco-222fe5,375,0,False,cedilha,abaixo,4,True,0,105,0.20076,0.04545,True,0.00714,,,0.00714,,
preco-f110c7__acc__w375__s0.png,preço,preco,preco-f110c7,375,0,False,cedilha,abaixo,3,True,0,1,0.0014,0.00047,True,0.06422,,,0.06422,,
espacos-a321bd__acc__w375__s0.png,espaços,espacos,espacos-a321bd,375,0,False,cedilha,abaixo,4,True,0,22,0.04583,0.01149,True,0.08894,,,0.08894,,
presenca-d6581f__acc__w375__s0.png,presença,presenca,presenca-d6581f,375,0,False,cedilha,abaixo,6,True,0,119,0.33056,0.06198,True,0.26371,,,0.26371,,
pais-8b83c1__acc__w174__s1.png,país,pais,pais-8b83c1,174,1,False,agudo,acima,2,True,0,63,0.09953,0.1291,True,0.0232,,,0.0232,,
individuos-2e50a2__acc__w174__s1.png,indivíduos,individuos,individuos-2e50a2,174,1,False,agudo,acima,5,True,0,0,0.0,0.0,True,-0.00459,,,-0.00459,,
esta-2d1080__acc__w174__s1.png,está,esta,esta-2d1080,174,1,False,agudo,acima,3,True,0,213,0.40805,0.11187,True,0.06765,,,0.06765,,
filosofo-6185fc__acc__w174__s1.png,filósofo,filosofo,filosofo-6185fc,174,1,False,agudo,acima,3,True,0,105,0.44118,0.0842,True,0.04508,,,0.04508,,
vies-abb582__acc__w174__s1.png,viés,vies,vies-abb582,174,1,False,agudo,acima,2,True,0,77,0.09255,0.06111,True,0.03728,,,0.03728,,
sera-615740__acc__w174__s1.png,será,sera,sera-615740,174,1,False,agudo,acima,3,True,0,6,0.00542,0.00971,True,-0.01144,,,-0.01144,,
aqueles-f3aa73__acc__w174__s1.png,àqueles,aqueles,aqueles-f3aa73,174,1,False,grave,acima,0,True,0,46,0.18699,0.0697,True,-0.00389,,,-0.00389,,
aquele-305a09__acc__w174__s1.png,àquele,aquele,aquele-305a09,174,1,False,grave,acima,0,True,0,53,0.16719,0.06495,True,-0.07166,,,-0.07166,,
aquela-5f0a77__acc__w174__s1.png,àquela,aquela,aquela-5f0a77,174,1,False,grave,acima,0,True,0,58,0.2723,0.06636,True,-0.02427,,,-0.02427,,
aquelas-cda0ac__acc__w174__s1.png,àquelas,aquelas,aquelas-cda0ac,174,1,False,grave,acima,0,True,0,85,0.2862,0.11273,True,-0.00676,,,-0.00676,,
epoque-f59620__acc__w174__s1.png,èpoque,epoque,epoque-f59620,174,1,False,grave,acima,0,True,0,35,0.06931,0.10938,True,-0.00883,,,-0.00883,,
importancia-39f2c4__acc__w174__s1.png,importância,importancia,importancia-39f2c4,174,1,False,circunflexo,acima,6,True,0,70,0.27559,0.06222,True,0.03509,,,0.03509,,
negligencia-07e163__acc__w174__s1.png,negligência,negligencia,negligencia-07e163,174,1,False,circunflexo,acima,6,True,0,2,0.01163,0.00207,True,-0.03433,,,-0.03433,,
influencia-754992__acc__w174__s1.png,influência,influencia,influencia-754992,174,1,False,circunflexo,acima,5,True,0,0,0.0,0.0,True,-0.05725,,,-0.05725,,
ineficiencia-65d1bb__acc__w174__s1.png,ineficiência,ineficiencia,ineficiencia-65d1bb,174,1,False,circunflexo,acima,7,True,0,46,0.17761,0.04212,True,0.02055,,,0.02055,,
porque-90c5f0__acc__w174__s1.png,porquê,porque,porque-90c5f0,174,1,False,circunflexo,acima,5,True,0,57,0.16814,0.17015,True,-0.01489,,,-0.01489,,
pode-9faff7__acc__w174__s1.png,pôde,pode,pode-9faff7,174,1,False,circunflexo,acima,1,True,0,9,0.02452,0.00926,True,-0.07836,,,-0.07836,,
depressao-2d26ca__acc__w174__s1.png,depressão,depressao,depressao-2d26ca,174,1,False,til,acima,7,True,0,42,0.15217,0.04082,True,0.03667,,,0.03667,,
cidadaos-88079d__acc__w174__s1.png,cidadãos,cidadaos,cidadaos-88079d,174,1,False,til,acima,5,True,0,139,0.20715,0.07351,True,-0.06111,,,-0.06111,,
questao-72d350__acc__w174__s1.png,questão,questao,questao-72d350,174,1,False,til,acima,5,True,0,83,0.29329,0.08469,True,-0.06109,,,-0.06109,,
exclusao-7a9dad__acc__w174__s1.png,exclusão,exclusao,exclusao-7a9dad,174,1,False,til,acima,6,True,0,47,0.08289,0.02664,True,0.01848,,,0.01848,,
regioes-ba061c__acc__w174__s1.png,regiões,regioes,regioes-ba061c,174,1,False,til,acima,4,True,0,20,0.06969,0.04228,True,0.02008,,,0.02008,,
visao-ee76db__acc__w174__s1.png,visão,visao,visao-ee76db,174,1,False,til,acima,3,True,0,143,0.22102,0.06373,True,0.06918,,,0.06918,,
doencas-7ee44f__acc__w174__s1.png,doenças,doencas,doencas-7ee44f,174,1,False,cedilha,abaixo,4,True,0,3,0.00792,0.00647,True,-0.00735,,,-0.00735,,
doenca-0cc034__acc__w174__s1.png,doença,doenca,doenca-0cc034,174,1,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,0.0,,,0.0,,
espaco-222fe5__acc__w174__s1.png,espaço,espaco,espaco-222fe5,174,1,False,cedilha,abaixo,4,True,0,24,0.04511,0.01154,True,0.00439,,,0.00439,,
preco-f110c7__acc__w174__s1.png,preço,preco,preco-f110c7,174,1,False,cedilha,abaixo,3,True,0,7,0.00946,0.00337,True,0.04206,,,0.04206,,
espacos-a321bd__acc__w174__s1.png,espaços,espacos,espacos-a321bd,174,1,False,cedilha,abaixo,4,True,0,5,0.01355,0.00277,True,0.0,,,0.0,,
presenca-d6581f__acc__w174__s1.png,presença,presenca,presenca-d6581f,174,1,False,cedilha,abaixo,6,True,0,47,0.09234,0.02637,True,0.03111,,,0.03111,,
pais-8b83c1__acc__w32__s1.png,país,pais,pais-8b83c1,32,1,False,agudo,acima,2,True,0,87,0.27358,0.09842,True,0.17073,,,0.17073,,
individuos-2e50a2__acc__w32__s1.png,indivíduos,individuos,individuos-2e50a2,32,1,False,agudo,acima,5,True,0,0,0.0,0.0,True,0.0,,,0.0,,
esta-2d1080__acc__w32__s1.png,está,esta,esta-2d1080,32,1,False,agudo,acima,3,True,0,210,0.34653,0.10714,True,-0.00174,,,-0.00174,,
filosofo-6185fc__acc__w32__s1.png,filósofo,filosofo,filosofo-6185fc,32,1,False,agudo,acima,3,True,0,8,0.0354,0.00702,True,-0.15294,,,-0.15294,,
vies-abb582__acc__w32__s1.png,viés,vies,vies-abb582,32,1,False,agudo,acima,2,True,0,51,0.09222,0.0414,True,0.00314,,,0.00314,,
sera-615740__acc__w32__s1.png,será,sera,sera-615740,32,1,False,agudo,acima,3,True,0,1,0.00093,0.00123,True,-0.01354,,,-0.01354,,
aqueles-f3aa73__acc__w32__s1.png,àqueles,aqueles,aqueles-f3aa73,32,1,False,grave,acima,0,True,0,17,0.05346,0.02415,True,-0.07071,,,-0.07071,,
aquele-305a09__acc__w32__s1.png,àquele,aquele,aquele-305a09,32,1,False,grave,acima,0,True,0,39,0.1254,0.04498,True,0.03226,,,0.03226,,
aquela-5f0a77__acc__w32__s1.png,àquela,aquela,aquela-5f0a77,32,1,False,grave,acima,0,True,0,40,0.1278,0.04614,True,0.02807,,,0.02807,,
aquelas-cda0ac__acc__w32__s1.png,àquelas,aquelas,aquelas-cda0ac,32,1,False,grave,acima,0,True,0,5,0.01718,0.00758,True,0.0,,,0.0,,
epoque-f59620__acc__w32__s1.png,èpoque,epoque,epoque-f59620,32,1,False,grave,acima,0,True,0,101,0.29882,0.17657,True,0.00318,,,0.00318,,
importancia-39f2c4__acc__w32__s1.png,importância,importancia,importancia-39f2c4,32,1,False,circunflexo,acima,6,True,0,40,0.25974,0.03721,True,-0.01786,,,-0.01786,,
negligencia-07e163__acc__w32__s1.png,negligência,negligencia,negligencia-07e163,32,1,False,circunflexo,acima,6,True,0,12,0.06316,0.01395,True,0.0177,,,0.0177,,
influencia-754992__acc__w32__s1.png,influência,influencia,influencia-754992,32,1,False,circunflexo,acima,5,True,0,10,0.04149,0.00855,True,-0.05769,,,-0.05769,,
ineficiencia-65d1bb__acc__w32__s1.png,ineficiência,ineficiencia,ineficiencia-65d1bb,32,1,False,circunflexo,acima,7,True,0,39,0.16667,0.03523,True,-0.04545,,,-0.04545,,
porque-90c5f0__acc__w32__s1.png,porquê,porque,porque-90c5f0,32,1,False,circunflexo,acima,5,True,0,73,0.37245,0.15336,True,-0.01672,,,-0.01672,,
pode-9faff7__acc__w32__s1.png,pôde,pode,pode-9faff7,32,1,False,circunflexo,acima,1,True,0,4,0.01365,0.00405,True,0.01399,,,0.01399,,
